codigo,clave,descripcion,marca,categoria
60136,DOM-TR,Dominó TRUPER,TRUPER,"Artículos promocionales / Silla, toldo, parasol, paraguas, balones, barajas, dominó, relojes y cordón portagafete"
60445,CUBI-T,Cubilete TRUPER,TRUPER,"Artículos promocionales / Silla, toldo, parasol, paraguas, balones, barajas, dominó, relojes y cordón portagafete"
55565,EXT-BAV,Exhibidor TRUPER de brocas de alta velocidad,TRUPER,Muestrarios para identificar medidas
55564,EXT-BCT,Exhibidor TRUPER de brocas de concreto,TRUPER,Muestrarios para identificar medidas
55566,EXT-CARB,Exhibidor TRUPER de carbones de repuesto,TRUPER,Muestrarios para identificar medidas
55559,EXT-LA,Exhibidor TRUPER de lijas de agua,TRUPER,Muestrarios para identificar medidas
55560,EXT-LM,Exhibidor TRUPER de lijas de madera,TRUPER,Muestrarios para identificar medidas
55561,EXT-MAN,"Exhibidor TRUPER de mangueras para jardín, nivel y gas",TRUPER,Muestrarios para identificar medidas
68093,CATA-26D,Catálogo TRUPER 2026 Precio Distribuidor,TRUPER,Artículos promocionales y para tienda
68096,CATA-26P,Catálogo TRUPER 2026 Precio Público,TRUPER,Artículos promocionales y para tienda
68097,CATA-26S,Catálogo TRUPER 2026 Sin Precios,TRUPER,Artículos promocionales y para tienda
68098,CATA-26FD,Catálogo TRUPER 2026 Frontera Precio Distribuidor,TRUPER,Artículos promocionales y para tienda
68099,CATA-26FP,Catálogo TRUPER 2026 Frontera Precio Publico,TRUPER,Artículos promocionales y para tienda
51574,BANCO,Banco metálico TRUPER,TRUPER,Artículos promocionales y para tienda
101281,MOHE-17,"Mochila portaherramientas, 33 compartimientos, TRUPER EXPERT",TRUPER-EXPERT,"Cajas para herramienta, maletas y mochilas portaherramienta"
56014,R-GAV,Rack organizador multi gavetas TRUPER,TRUPER,Racks exhibidores
14489,CEPP-50,"Cepillo para pintor, superficies semirrugosas, TRUPER",TRUPER,"Cepillos para picar pintura e impermeabilizar, pinta pads y extensiones para rodillo"
59995,R-TUB,Rack para tubos TRUPER,FOSET,Racks exhibidores
59994,R-GEN,Rack para Generadores TRUPER,TRUPER,Racks exhibidores
102264,MA-H2000X,"Manguera para HILA-2000X, TRUPER EXPERT",TRUPER-EXPERT,Hidrolavadoras eléctricas
101967,POHE-1NX,"Cinturón de trabajo, TRUPER EXPERT",TRUPER-EXPERT,Portaherramientas
55252,R-P-CAT,"Rack parado para carretilla Truper, Truper",TRUPER,Racks exhibidores
102262,PI-H2000X,"Pistola para HILA-2000X, TRUPER EXPERT",TRUPER-EXPERT,Hidrolavadoras eléctricas
102992,TRAV-50X/60X,Travesaño para carretillas TRUPER EXPERT,TRUPER-EXPERT,Refacciones para carretillas bastidor tubular
100433,BOAC-1AX,"Bomba centrífuga para agua, 1 HP, TRUPER EXPERT",TRUPER-EXPERT,"Bombas eléctricas para agua, centrífugas, sumergible para fuente y para enfriadores evaporativos"
13415,LIREX-480,"Linterna recargable con luz emergencia, 480lm, TRUPER EXPERT",TRUPER-EXPERT,"Linternas LED de emergencia, lámparas de trabajo y de taller"
15158,GU-665,"Guantes para mecánico con antiimpacto,unitalla,TRUPER EXPERT",TRUPER-EXPERT,"Guantes antiimpacto, para mecánico y motociclista"
100417,CAT-60X,"Carretilla 6ft3 Imponchable, bastidor tubular, TRUPER EXPERT",TRUPER-EXPERT,"Carretillas bastidor tubular, Truper Expert y Truper"
100416,CAT-50X,"Carretilla 5.5ft3 Imponchable bastidor tubular,TRUPER EXPERT",TRUPER-EXPERT,"Carretillas bastidor tubular, Truper Expert y Truper"
100333,REX-8,"Remachadora profesional 8"", TRUPER EXPERT",TRUPER-EXPERT,Remachadoras
13730,KIT-RES-MU,"Kit respirador con cartuchos multigas, TRUPER EXPERT",TRUPER-EXPERT,Respiradores y goggles
16777,LIXR-2AA,"Linterna LED recargable, de aluminio, 500 lm, TRUPER EXPERT",TRUPER-EXPERT,Linternas LED de aluminio y plásticas
102530,RES-600,"Respirador de cara completa, reutilizable, TRUPER EXPERT",TRUPER-EXPERT,Respiradores y goggles
103614,BOM-MAX,"Bomba manual con manómetro, 120 PSI, TRUPER EXPERT",TRUPER-EXPERT,"Bombas para inflar, adaptadores y bombas extractoras"
100915,PONCHO-X,"Poncho o capamanga doble capa, TRUPER EXPERT",TRUPER-EXPERT,Gabardinas impermeables y ponchos
62140,MARO-20,"Maleta de cabina ligera negra 49 L, Truper",TRUPER,"Artículos promocionales / Maletas, mochilas, portafolio, bolsos y saco de avío"
16778,LIXR-2D,"Linterna LED recargable, de aluminio,1,300 lm, TRUPER EXPERT",TRUPER-EXPERT,Linternas LED de aluminio y plásticas
101132,IMPER-L-X,"Gabardina impermeable triple capa, talla G, TRUPER EXPERT",TRUPER-EXPERT,Gabardinas impermeables y ponchos
16779,LIXR-3D,"Linterna LED recargable, de aluminio,2,000 lm, TRUPER EXPERT",TRUPER-EXPERT,Linternas LED de aluminio y plásticas
18564,TIMU-8E,"Tijera 8"" multiusos,cuchilla dentada,acero inoxidable,TRUPER",TRUPER,"Tijeras multiusos, para oficina, estilista y escolar"
101131,IMPER-M-X,"Gabardina impermeable triple capa, talla M, TRUPER EXPERT",TRUPER-EXPERT,Gabardinas impermeables y ponchos
101133,IMPER-XL-X,"Gabardina impermeable triple capa, talla XG, TRUPER EXPERT",TRUPER-EXPERT,Gabardinas impermeables y ponchos
100913,TRA-PRO-L-X,"Conjunto impermeable triple capa, talla G, TRUPER EXPERT",TRUPER-EXPERT,Conjuntos impermeables y overoles
100955,BACA-LT,Larguero de bastidor calibre 16 para carretillas TRUPER,TRUPER,Refacciones para carretillas bastidor tubular
13732,RES-X,"Respirador profesional media cara, TRUPER EXPERT",TRUPER-EXPERT,Respiradores y goggles
